ids	sample1_conditionA_batch1
0519743d-3174-40be-ad3c-181de5780a45_R1-73	5.0
05d6f30e-c0dc-45ab-948a-761c1c1b3fd8_R2-65	1189.0
0f95d792-c056-4323-b3f9-47cc61b94cc8_R1-14	201.0
25a2f88b-48f0-4354-acca-8d22ca33c081_R1-73	4.0
3412e8ae-fdd3-4ad9-b99e-de4d8a8fc785_R1-22	6.0
405150a6-4a9a-4a6c-a59f-645cafc502d9_R2-32	3.0
7724d9f0-8e18-44ae-8d65-5b0cd69ed80e_R2-72	20.0
9005adbd-7728-4735-b6c6-b7eb391b92bc_R1-73	28.0
9e797075-c1a1-41a8-9007-180b7ce49da4_R2-26	12.0
R1_101_1_R1-101	3.0
R1_101_2_R1-101	3.0
R1_102_1_R1-102	7.0
R1_103_1_R1-103	13.0
R1_103_2_R1-103	121.0
R1_11_1_R1-11	109.0
R1_11_2_R1-11	320.0
R1_13_1_R1-13	28.0
R1_22_2_R1-22	10.0
R1_23_1_R1-23	10.0
R1_31_1_R1-31	68.0
R1_31_2_R1-31	13.0
R1_32_2_R1-32	4.0
R1_33_1_R1-33	15.0
R1_33_2_R1-33	4.0
R1_41_1_R1-41	31.0
R1_71_2_R1-71	4.0
R1_91_2_R1-91	4.0
R1_92_2_R1-92	9.0
R2_117_1_R2-117	16.0
R2_117_3_R2-117	16.0
R2_14_1_R2-14	302.0
R2_14_2_R2-14	110.0
R2_14_3_R2-14	48.0
R2_150_1_R2-150	149.0
R2_150_2_R2-150	221.0
R2_154_1_R2-154	56.0
R2_154_2_R2-154	626.0
R2_26_2_R2-26	24.0
R2_28_3_R2-28	6.0
R2_32_1_R2-32	10.0
R2_38_1_R2-38	8.0
R2_38_2_R2-38	16.0
R2_38_3_R2-38	31.0
R2_38_4_R2-38	86.0
R2_41_2_R2-41	73.0
R2_42_1_R2-42	65.0
R2_42_2_R2-42	105.0
R2_45_2_R2-45	8.0
R2_46_1_R2-46	327.0
R2_46_2_R2-46	16.0
R2_53_1_R2-53	101.0
R2_53_2_R2-53	62.0
R2_53_3_R2-53	4.0
R2_6_1_R2-6	80.0
R2_72_1_R2-72	182.0
R2_72_2_R2-72	380.0
R2_72_3_R2-72	908.0
R2_72_4_R2-72	1673.0
R2_7_1_R2-7	31.0
R2_7_2_R2-7	123.0
ae51f4a3-c2d6-4038-b8c5-a4c9ef5b8f80_R2-72	1.0
c0720fd5-fbfb-4eac-8bc4-acdabc7c58d6_chrIS:5972000	42.0
c4819e26-9656-4b7a-82e4-838c2bb31ca3_chrIS:95000	131.0
d5af508d-4719-45e2-9d33-31aef2311fc8_R2-41	6.0
da4aaec2-9562-4741-8f23-41b346e3020a_R2-27	3.0
e098ca92-2a2b-4508-a252-b9aed8b0e0a4_R2-72	27.0
e610e82c-a0fb-4680-b16b-136862478c5b_R1-73	21.0
eb86e089-6dbf-4daf-a7c0-3ab1aed21b70_R1-92	21.0
ec8a0c51-bb1d-449d-9871-327bc7b9c7ac_R1-22	58.0
f373ecd8-5053-4f20-9771-214ba94f4d67_chrIS:5389000	14.0
f5727c57-262b-488d-adeb-896a8df1b5af_R2-14	1.0
